name,url,country,location,qs_ranking_preview,the_ranking_preview,arwu_ranking_preview,bachelor_from,bachelor_to,master_from,master_to,doctorate_from,doctorate_to,location_full,establishment_year,total_students,international_students,female_students,acceptance_rate,qs_rating,the_rating,rating_usa,iso3_code,country_name,iso2_code,gdp,unemployment_rate,school_enrollment_tert,adult_literacy_rate,heritage_year,economic_freedom_score
University of São Paulo,https://www.unipage.net/en/455/university_of_s_o_paulo,BR,"Brazil,Sao Paulo",92.0,,101.0,"1,000","1,000",0,"1,000",,,"Sao Paulo, Brazil",1934.0,"82,010","2,943",,10%,,,,BRA,Brazil,BR,2179412080828.59,7.634,60.3906211853027,94.8005123042056,2025.0,55.1
McMaster University,https://www.unipage.net/en/357/mcmaster_university,CA,"Canada,Hamilton",176.0,116.0,98.0,"1,602","38,026","6,080","33,744","3,014","4,522","Hamilton, Canada",1887.0,"32,291","5,364",56%,,#176,#116,,CAN,Canada,CA,2241253230970.34,6.45,76.2586212158203,,2025.0,75.5
University of Liverpool,https://www.unipage.net/en/328/university_of_liverpool,GB,"United Kingdom,Liverpool",165.0,160.0,101.0,"22,840","58,987","8,933","45,747","24,429","60,907","Liverpool, United Kingdom",1881.0,"26,575","8,205",55%,,#165,#160,,GBR,United Kingdom,GB,3643834188782.91,4.111,80.4987716674805,,2025.0,69.3
City University of Hong Kong,https://www.unipage.net/en/14/city_university_of_hong_kong,HK,"Hong Kong,Kowloon",62.0,80.0,101.0,"1,190","20,495","5,387","60,644","68,610","116,375","Kowloon, Hong Kong",1984.0,"9,233","5,140",54%,40%,#62,#80,,,,,,,,,,
Texas A & M University-College Station,https://www.unipage.net/en/438/texas_a_m_university_college_station,US,"United States,College Station",154.0,143.0,151.0,"9,108","79,592","3,173","63,294","18,084","36,168","College Station, United States",1876.0,"73,294","5,861",47%,63%,#154,#143,#77,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
Queen Mary University of London,https://www.unipage.net/en/26/queen_mary_university_of_london,GB,"United Kingdom,London",120.0,141.0,201.0,0,"251,573",1,"110,427","14,896","110,427","London, United Kingdom",1887.0,"19,595","6,815",55%,,#120,#141,,GBR,United Kingdom,GB,3643834188782.91,4.111,80.4987716674805,,2025.0,69.3
Stockholm University,https://www.unipage.net/en/634/stockholm_university,SE,"Sweden,Stockholm",128.0,191.0,98.0,"9,120","14,553","4,671","17,128",,,"Stockholm, Sweden",1878.0,"27,185","3,806",62%,,#128,#191,,SWE,Sweden,SE,610117791237.089,8.528,81.3998184204102,,2025.0,77.9
Durham University,https://www.unipage.net/en/405/durham_university,GB,"United Kingdom,Durham",89.0,172.0,301.0,"12,248","41,377","11,255","49,653","19,861","38,619","Durham, United Kingdom",1832.0,"19,900","6,260",54%,,#89,#172,,GBR,United Kingdom,GB,3643834188782.91,4.111,80.4987716674805,,2025.0,69.3
Michigan State University,https://www.unipage.net/en/10523/michigan_state_university,US,"United States,East Lansing",152.0,122.0,151.0,"39,755","44,923","10,497","49,487",,,"East Lansing, United States",1855.0,"49,843","5,793",52%,88%,#152,#122,#56,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University of Florida,https://www.unipage.net/en/334/university_of_florida,US,"United States,Gainesville",215.0,130.0,101.0,"16,576","28,651","6,718","54,219","5,039","30,126","Gainesville, United States",1853.0,"54,332","6,107",56%,23%,#215,#130,,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
